date,units_sold,unnamed:_0,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2023-02-05,7.0,36,22.827082,18.65,30.0,0.0,70.49964,95.41275,17.940882,23.237516,28.406174,19.812538
2023-02-06,35.0,37,20.308332,14.5,25.15,0.0,74.332726,93.813446,45.54287,20.788612,25.44767,14.430063
2023-02-07,0.0,38,20.929167,17.0,26.45,0.0,83.19308,99.372635,43.958374,22.068542,26.535944,18.122776
2023-02-08,7.0,39,21.693748,18.55,25.05,0.0,85.27598,97.53737,63.303497,22.710844,26.354055,19.63449
2023-02-09,0.0,40,22.550001,20.75,25.65,0.0,81.01067,95.19105,60.349834,22.80741,25.383305,21.326904
2023-02-10,0.0,41,22.081251,16.6,28.2,0.0,66.70308,97.82917,21.588434,21.951195,28.070671,16.662285
2023-02-11,0.0,42,23.199999,16.7,29.4,0.0,36.71684,81.54858,12.66066,20.053175,25.519056,13.546761
2023-02-12,0.0,43,21.883333,17.2,26.3,0.0,32.48453,78.02204,13.904733,18.542927,23.980661,12.572561
2023-02-13,0.0,44,21.877085,18.75,26.85,0.0,78.793045,97.850395,50.51861,22.735815,27.77972,19.0218
2023-02-14,0.0,45,20.914583,18.3,25.3,0.0,90.218956,100.0,66.96069,23.216127,28.12381,20.564075
2023-02-15,0.0,46,22.195833,18.7,28.4,0.0,83.25731,99.067696,48.966747,23.658922,29.190987,20.259378
2023-02-16,0.0,47,22.447914,17.25,29.55,0.0,81.35755,100.0,46.84136,24.374777,32.003723,18.290878
2023-02-17,0.0,48,21.49375,15.65,26.9,0.0,76.991,99.38212,43.668777,22.91565,28.829174,15.803831
2023-02-18,0.0,49,21.552084,17.9,25.2,0.0,87.241516,100.0,72.25384,23.773188,28.352386,19.616854
2023-02-19,0.0,50,23.381248,18.95,28.75,0.0,78.89004,92.752655,50.95492,24.777002,29.819775,19.955801
2023-02-20,0.0,51,22.993752,18.95,26.65,0.0,84.72094,98.45043,61.13993,25.254412,30.75486,21.070217
2023-02-21,0.0,52,22.804167,20.5,25.8,0.0,82.24349,96.062325,61.696804,23.890976,26.107573,21.795395
2023-02-22,0.0,53,22.404167,19.05,25.65,0.0,81.45843,97.8382,62.85025,24.037401,27.850132,21.193863
2023-02-23,0.0,54,21.922918,18.05,26.2,0.0,84.572014,100.0,57.85305,23.569832,27.283401,20.019966
2023-02-24,0.0,55,23.189583,19.55,27.5,0.0,79.198395,95.77141,51.52872,24.442324,28.251602,21.05643
2023-02-25,0.0,56,23.525,19.65,28.9,0.0,81.71473,95.21935,53.273277,25.36923,30.465366,21.461075
2023-02-26,0.0,57,23.168747,18.0,29.3,0.0,83.97861,100.0,51.69969,25.36207,32.060284,19.651125
2023-02-27,0.0,58,23.022917,19.4,28.3,0.0,82.96235,98.45572,51.16116,24.878614,29.895256,21.318716
2023-02-28,0.0,59,23.535416,19.05,28.2,0.0,79.373695,100.0,51.45978,25.884972,31.397224,21.55769
2023-03-01,0.0,60,26.32917,21.75,32.45,0.0,48.001606,65.19241,22.219542,25.608603,31.610508,20.2608
2023-03-02,0.0,61,26.108335,20.6,31.6,0.0,51.267,73.123405,27.950853,26.116594,32.06476,20.629
2023-03-03,0.0,62,26.047918,20.25,31.6,0.0,50.103806,93.7373,27.125948,25.414534,31.610752,20.769508
2023-03-04,0.0,63,25.795835,19.75,30.95,0.0,50.382153,73.602325,29.568222,25.272749,31.563816,19.911146
2023-03-05,0.0,64,25.354166,20.05,30.3,0.0,56.317368,75.86675,27.387596,25.610132,31.97496,20.028738
2023-03-06,0.0,65,24.685417,19.8,30.2,0.0,70.94205,96.04024,43.57437,26.347916,33.085342,20.950308
2023-03-07,0.0,66,24.735415,19.8,29.55,0.0,73.05092,95.45358,45.63778,26.806402,32.73406,21.913023
2023-03-08,0.0,67,25.856249,20.0,31.9,0.0,59.89797,96.367096,24.840652,26.565725,31.880016,21.138214
2023-03-09,0.0,68,25.787497,20.2,31.15,0.0,55.47888,82.978226,25.420223,26.145287,32.468697,19.321402
2023-03-10,0.0,69,25.38542,19.6,30.6,0.0,62.99614,86.85499,35.65741,26.400583,32.106796,20.852919
2023-03-11,0.0,70,25.722914,21.4,31.3,0.0,63.023014,85.87973,25.679186,26.566263,30.834675,22.228933
2023-03-12,0.0,71,24.96667,20.0,30.25,0.0,71.83118,96.669044,36.18518,26.633453,31.994194,22.11759
2023-03-13,0.0,72,23.975,20.2,28.4,0.0,81.27108,99.383514,53.495083,26.221418,31.346329,22.707802
2023-03-14,0.0,73,25.079165,22.55,28.5,0.0,80.07348,96.41402,51.051296,27.62324,30.28032,25.545221
2023-03-15,0.0,74,25.518751,22.2,29.25,0.0,80.39333,99.39456,48.88055,28.41477,30.795403,26.295324
2023-03-16,0.0,75,25.59375,23.15,28.65,0.0,79.54023,94.68707,58.36354,28.63865,32.15115,26.758404
2023-03-17,0.0,76,25.375002,20.65,29.7,0.0,66.269005,99.39209,36.730785,26.869913,31.399178,22.99805
2023-03-18,0.0,77,24.877085,21.0,29.1,0.0,69.16814,94.929214,41.7264,26.436716,30.67371,23.264427
2023-03-19,0.0,78,24.545832,21.65,27.1,0.0,76.9243,95.214066,59.356724,27.468771,30.421997,25.005484
2023-03-20,0.0,79,25.0875,21.35,28.05,0.0,70.97588,97.577705,50.77379,26.788046,29.58712,24.783047
2023-03-21,0.0,80,23.862501,21.2,25.6,0.4,78.135155,88.40342,64.822136,25.794907,29.465862,22.090963
2023-03-22,0.0,81,23.443748,20.95,25.6,3.8,81.04453,95.81814,69.02067,25.196707,27.36128,21.647388
2023-03-23,0.0,82,24.412498,22.2,26.9,0.0,59.947216,73.15304,39.24442,23.20259,25.053337,21.79114
2023-03-24,0.0,83,24.472916,22.2,27.5,0.0,67.080055,81.3359,48.263474,25.05748,28.465221,22.710337
2023-03-25,0.0,84,24.141668,20.35,28.35,0.0,75.014656,95.758804,49.056667,25.673662,30.294334,22.8812
2023-03-26,0.0,85,24.639582,20.4,29.5,0.0,69.42681,95.16784,36.555584,25.68151,29.654293,22.530397
2023-03-27,0.0,86,24.545832,21.3,27.8,0.0,78.05764,94.047264,56.757946,26.146078,29.43002,23.196928
2023-03-28,0.0,87,25.279167,23.5,27.45,0.0,78.07992,86.18753,66.267746,27.01822,29.76656,25.068062
2023-03-29,0.0,88,25.243752,23.3,27.35,0.8000001,70.92631,87.53772,52.175705,26.296793,28.7855,24.077553
2023-03-30,0.0,89,25.777082,23.8,28.75,0.0,76.00072,89.94477,57.318928,27.52234,31.300255,25.643923
2023-03-31,0.0,90,25.645836,23.25,28.85,0.0,74.31817,91.87006,52.27992,27.087622,29.773388,25.660309
2023-04-01,0.0,91,25.395834,23.0,28.25,0.0,77.030624,90.1913,59.25431,26.870056,30.184238,24.859268
2023-04-02,0.0,92,26.145836,24.05,28.85,0.3,78.303,92.1868,62.953587,27.990648,31.31165,25.820513
2023-04-03,0.0,93,24.854166,22.6,27.65,0.0,74.20788,91.529884,55.001705,26.61251,29.777283,24.190973
2023-04-04,0.0,94,25.052084,21.6,29.65,0.0,68.71621,94.91798,34.2224,25.801865,29.237812,23.683847
2023-04-05,0.0,95,25.000002,22.05,29.15,0.0,75.533264,90.40901,53.42789,26.898886,32.25061,23.827894
2023-04-06,0.0,96,25.218748,21.4,29.75,0.0,78.05596,96.087135,49.011772,27.568382,32.02446,23.855467
2023-04-07,0.0,97,25.822914,21.85,30.75,0.0,76.44549,96.99703,47.71629,28.255074,34.607307,24.51306
2023-04-08,0.0,98,25.627083,22.3,29.65,0.0,78.20582,96.11314,54.991566,28.068466,31.772022,25.502483
2023-04-09,0.0,99,25.15,22.2,28.25,0.0,82.01106,100.0,65.62109,28.413666,31.52694,26.105936
2023-04-10,0.0,100,25.19375,21.45,29.05,0.0,81.57226,100.0,52.49514,28.26105,31.84502,25.199144
2023-04-11,0.0,101,27.041664,23.35,31.95,0.0,75.76075,97.32269,48.974415,29.978922,35.293156,26.603207
2023-04-12,50.0,102,27.875,24.6,33.15,0.0,70.059265,87.58139,42.329376,29.91234,35.15791,26.808273
2023-04-13,0.0,103,27.00625,24.45,30.55,0.0,81.80807,94.73724,64.31962,30.5129,34.635605,27.373192
2023-04-14,0.0,104,27.166666,23.9,30.3,0.0,81.782326,96.44956,63.492012,31.241983,34.301804,28.421494
2023-04-15,0.0,105,27.349998,24.55,30.5,0.0,80.77415,95.31324,62.959404,30.936378,33.913074,29.345982
2023-04-16,0.0,106,27.339584,24.4,30.25,0.0,77.46555,92.571175,59.727245,30.581705,33.49028,28.045067
2023-04-17,0.0,107,28.55208,24.4,34.35,0.0,66.58254,96.76866,32.540134,30.406717,33.810333,27.150743
2023-04-18,0.0,108,27.84375,24.8,31.95,0.0,62.711792,90.28874,34.35632,28.709986,31.287472,27.305733
2023-04-19,0.0,109,27.910414,24.75,33.75,0.0,70.61486,90.832924,30.056551,29.586525,33.56267,26.712923
2023-04-20,0.0,110,27.581247,24.75,31.4,0.0,77.20733,93.343216,56.225502,30.19391,33.899586,27.332186
2023-04-21,0.0,111,27.579165,25.0,31.25,0.0,75.89131,94.77162,53.04946,30.288355,33.467133,28.02703
2023-04-22,0.0,112,28.197914,24.85,33.0,0.0,73.95016,93.33844,50.13651,31.314634,36.813835,28.224224
2023-04-23,0.0,113,27.716667,24.35,32.45,0.0,78.0825,95.31149,47.02246,31.046074,35.236256,28.04097
2023-04-24,0.0,114,28.122915,25.05,33.55,0.0,69.57729,93.91072,38.883907,30.02674,35.456562,26.34902
2023-04-25,0.0,115,28.199999,26.15,30.95,0.0,55.118435,79.16226,35.311043,28.435068,31.609165,23.569267
2023-04-26,0.0,116,27.237501,25.3,29.95,0.3,71.750084,86.33108,54.218395,29.535936,32.422356,28.18821
2023-04-27,0.0,117,25.937498,23.5,28.65,3.4,75.786285,86.945755,62.556725,28.65,31.754784,26.334618
2023-04-28,0.0,118,25.2125,22.65,28.35,0.8,76.49596,92.38972,56.40819,28.23751,32.908268,25.549675
2023-04-29,0.0,119,26.012497,22.65,28.95,0.2,68.871956,94.9608,49.605373,28.293251,30.769657,26.317102
2023-04-30,0.0,120,27.277084,24.25,30.65,0.9,71.46856,87.555176,50.952225,29.973196,33.27085,27.77702
2023-05-01,0.0,121,27.86667,24.9,30.95,0.1,74.320335,92.22325,58.62321,30.84581,34.237614,29.25425
2023-05-02,0.0,122,27.78958,25.25,30.45,0.0,78.338455,93.92388,61.126587,31.653463,34.578182,29.51815
2023-05-03,0.0,123,27.59375,24.45,30.95,0.0,80.47819,99.70103,59.62406,31.734795,35.293545,29.468147
2023-05-04,0.0,124,27.714584,24.95,31.7,0.0,79.66529,95.621254,61.526928,31.74218,35.94912,28.949913
2023-05-05,0.0,125,28.541664,25.3,33.6,0.0,76.43897,93.360054,46.172966,31.900536,36.066906,29.91277
2023-05-06,0.0,126,28.408333,25.9,32.2,0.0,80.34825,94.52215,60.855396,32.127884,36.089016,29.38388
2023-05-07,2.0,127,28.833334,25.85,32.95,0.0,78.78375,95.3574,56.7796,32.864513,36.81546,30.570454
2023-05-08,0.0,128,28.349998,24.55,32.0,0.0,78.66165,93.90625,60.307186,32.59309,35.89944,29.168041
2023-05-09,0.0,129,29.414583,25.35,34.6,0.0,71.37609,97.071495,37.1246,32.825108,36.191906,30.129028
2023-05-10,0.0,130,30.164583,26.5,35.45,0.0,68.05768,92.86309,37.48583,32.86677,35.93819,30.69569
2023-05-11,0.0,131,30.262505,27.05,34.5,0.0,66.40667,84.71371,43.10553,32.66576,35.44081,30.240551
2023-05-12,0.0,132,30.127085,27.05,34.25,0.0,71.27007,90.45584,44.802532,32.83534,35.622475,30.929848
2023-05-13,0.0,133,29.581251,27.3,32.55,0.0,80.26843,93.45486,66.454,33.59824,37.126217,31.578499
2023-05-14,0.0,134,29.600004,27.5,32.3,0.1,80.228745,89.95907,67.63955,33.715168,36.926506,32.300686
