Date,Brand Name,Generic / Formula Name,Area,Dosage / Strength,Therapeutic Class,Units Sold,Unnamed: 0,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2023-02-01,Lipitor,Atorvastatin,saddar,50 mg tablet,Antibiotic,39,32.0,18.87292,13.0,24.25,0.0,46.691402,61.626785,27.371384,16.296389,22.813013,9.911163
2023-02-01,Salbutamol,Salbutamol,clifton,20 mg capsule,Antifungal,6,32.0,18.87292,13.0,24.25,0.0,46.691402,61.626785,27.371384,16.296389,22.813013,9.911163
2023-02-01,Rocephin,Ceftriaxone,lyari,500 mg tablet,Antidiabetic,33,32.0,18.87292,13.0,24.25,0.0,46.691402,61.626785,27.371384,16.296389,22.813013,9.911163
2023-03-01,Diflucan,Fluconazole,korangi,20 mg capsule,NSAID,39,60.0,26.32917,21.75,32.45,0.0,48.001606,65.19241,22.219542,25.608603,31.610508,20.2608
2023-03-01,Amoxil,Amoxicillin,lyari,150 mg tablet,NSAID,47,60.0,26.32917,21.75,32.45,0.0,48.001606,65.19241,22.219542,25.608603,31.610508,20.2608
2023-03-01,Panadol,Paracetamol,lyari,100 µg inhaler,Analgesic,23,60.0,26.32917,21.75,32.45,0.0,48.001606,65.19241,22.219542,25.608603,31.610508,20.2608
2023-04-01,Glucophage,Metformin,korangi,100 µg inhaler,Antidiabetic,46,91.0,25.395834,23.0,28.25,0.0,77.030624,90.1913,59.25431,26.870056,30.184238,24.859268
2023-04-01,Hydrocortisone,Hydrocortisone,pechs,50 mg tablet,Respiratory,50,91.0,25.395834,23.0,28.25,0.0,77.030624,90.1913,59.25431,26.870056,30.184238,24.859268
2023-04-01,Suprax,Cefixime,bahadurabad,100 µg inhaler,Antibiotic,48,91.0,25.395834,23.0,28.25,0.0,77.030624,90.1913,59.25431,26.870056,30.184238,24.859268
2023-05-01,Ventolin,Salbutamol,lyari,100 µg inhaler,Respiratory,32,121.0,27.86667,24.9,30.95,0.1,74.320335,92.22325,58.62321,30.84581,34.237614,29.25425
2023-05-01,Hydrocortisone,Hydrocortisone,bahadurabad,500 mg tablet,Respiratory,25,121.0,27.86667,24.9,30.95,0.1,74.320335,92.22325,58.62321,30.84581,34.237614,29.25425
2023-05-01,Metronidazole,Metronidazole,lyari,150 mg tablet,Cardiovascular,19,121.0,27.86667,24.9,30.95,0.1,74.320335,92.22325,58.62321,30.84581,34.237614,29.25425
2023-06-01,Suprax,Cefixime,landhi,100 µg inhaler,Antibiotic,47,152.0,29.995829,28.45,32.4,0.1,81.04484,89.49437,68.872765,34.4476,37.009712,33.049507
2023-06-01,Augmentin,Amoxicillin + Clavulanate,gulshan,250 mg tablet,Antibiotic,7,152.0,29.995829,28.45,32.4,0.1,81.04484,89.49437,68.872765,34.4476,37.009712,33.049507
2023-06-01,Metronidazole,Metronidazole,gulistan-e-jauhar,150 mg tablet,Cardiovascular,25,152.0,29.995829,28.45,32.4,0.1,81.04484,89.49437,68.872765,34.4476,37.009712,33.049507
2023-07-01,Omeprazole,Omeprazole,clifton,125 mg/5 mL syrup,Antibiotic,2,182.0,30.737503,28.85,32.9,0.4,75.82893,85.635765,64.42531,35.590797,37.912323,33.64767
2023-07-01,Panadol,Paracetamol,gulshan,200 mg tablet,Analgesic,50,182.0,30.737503,28.85,32.9,0.4,75.82893,85.635765,64.42531,35.590797,37.912323,33.64767
2023-07-01,Suprax,Cefixime,bahadurabad,20 mg capsule,Antibiotic,30,182.0,30.737503,28.85,32.9,0.4,75.82893,85.635765,64.42531,35.590797,37.912323,33.64767
2023-09-01,Flagyl,Metronidazole,pechs,100 µg inhaler,Antifungal,46,244.0,27.202082,24.75,30.3,0.0,76.010475,91.383514,58.471798,29.889566,32.84896,28.49075
2023-09-01,Metronidazole,Metronidazole,saddar,200 mg tablet,Cardiovascular,47,244.0,27.202082,24.75,30.3,0.0,76.010475,91.383514,58.471798,29.889566,32.84896,28.49075
2023-09-01,Omeprazole,Omeprazole,gulshan,125 mg/5 mL syrup,Antibiotic,42,244.0,27.202082,24.75,30.3,0.0,76.010475,91.383514,58.471798,29.889566,32.84896,28.49075
2023-10-01,Salbutamol,Salbutamol,pechs,20 mg capsule,Antifungal,2,274.0,28.612501,23.2,34.75,0.0,67.08152,94.80564,37.04095,31.496887,36.788013,24.766064
2023-10-01,Glucophage,Metformin,saddar,100 µg inhaler,Antidiabetic,32,274.0,28.612501,23.2,34.75,0.0,67.08152,94.80564,37.04095,31.496887,36.788013,24.766064
2023-10-01,Metronidazole,Metronidazole,landhi,100 µg inhaler,Cardiovascular,46,274.0,28.612501,23.2,34.75,0.0,67.08152,94.80564,37.04095,31.496887,36.788013,24.766064
